"date","open","high","low","close","stock"
2018-12-05,213500,217000,212000,216500,"삼성SDI"
2018-12-06,216500,217000,206000,208000,"삼성SDI"
2018-12-07,210000,212000,207500,208000,"삼성SDI"
2018-12-10,204500,206000,201000,204000,"삼성SDI"
2018-12-11,206000,207500,202000,203500,"삼성SDI"
2018-12-12,206500,210500,203500,208500,"삼성SDI"
2018-12-13,211000,218000,209500,216000,"삼성SDI"
2018-12-14,215000,215500,203000,205500,"삼성SDI"
2018-12-17,204500,208000,201500,207000,"삼성SDI"
2018-12-18,202500,207000,201500,202500,"삼성SDI"
2018-12-19,204000,213000,203500,211000,"삼성SDI"
2018-12-20,209000,213000,207000,210000,"삼성SDI"
2018-12-21,211500,222500,211500,221000,"삼성SDI"
2018-12-24,222000,223000,215000,218500,"삼성SDI"
2018-12-26,213500,224500,213500,218000,"삼성SDI"
2018-12-27,226000,226500,219000,220500,"삼성SDI"
2018-12-28,221000,223000,216000,219000,"삼성SDI"
2018-12-03,30900,31000,30200,30400,"기아차"
2018-12-04,30350,30750,29600,30450,"기아차"
2018-12-05,30200,30650,30000,30600,"기아차"
2018-12-06,30800,31050,30500,30950,"기아차"
2018-12-07,31000,31100,30350,30950,"기아차"
2018-12-10,30200,31000,30150,31000,"기아차"
2018-12-11,30700,31450,30450,31400,"기아차"
2018-12-12,31500,32900,31450,32350,"기아차"
2018-12-13,32400,33450,32050,33450,"기아차"
2018-12-14,33450,33650,32450,32500,"기아차"
2018-12-17,32550,33300,31900,33100,"기아차"
2018-12-18,33450,33750,32350,33700,"기아차"
2018-12-19,33750,34100,33550,33800,"기아차"
2018-12-20,33400,34200,32950,33800,"기아차"
2018-12-21,33950,34000,33450,33850,"기아차"
2018-12-24,33850,34000,33200,33500,"기아차"
2018-12-26,33100,33800,32650,33400,"기아차"
2018-12-27,32850,33500,32350,33050,"기아차"
2018-12-28,33200,33900,33150,33700,"기아차"
2018-12-03,274500,276000,270000,270500,"삼성화재"
2018-12-04,271000,273500,270000,272000,"삼성화재"
2018-12-05,271000,274500,270500,274500,"삼성화재"
2018-12-06,276000,276500,271500,276000,"삼성화재"
2018-12-07,278000,278000,271000,271500,"삼성화재"
2018-12-10,272500,274500,269000,272000,"삼성화재"
2018-12-11,270500,275500,269000,274500,"삼성화재"
2018-12-12,276000,276500,271000,271500,"삼성화재"
2018-12-13,272500,279000,272500,273500,"삼성화재"
2018-12-14,274000,279000,273000,277000,"삼성화재"
2018-12-17,278000,279500,270500,271000,"삼성화재"
2018-12-18,271000,275000,270000,272000,"삼성화재"
2018-12-19,272000,282000,269500,281500,"삼성화재"
2018-12-20,281500,281500,277000,278500,"삼성화재"
2018-12-21,276500,279000,275000,277500,"삼성화재"
2018-12-24,278000,283000,276000,282500,"삼성화재"
2018-12-26,281500,283000,274000,278500,"삼성화재"
2018-12-27,271500,271500,265500,268000,"삼성화재"
2018-12-28,268500,270000,266000,269000,"삼성화재"
2018-12-03,104500,106000,103000,103500,"KT&G"
2018-12-04,103500,106000,103500,105000,"KT&G"
2018-12-05,105000,109000,105000,107500,"KT&G"
2018-12-06,108000,109500,106500,108000,"KT&G"
2018-12-07,107500,108500,106500,108000,"KT&G"
2018-12-10,107500,109500,106000,109000,"KT&G"
2018-12-11,108000,108500,107000,107500,"KT&G"
2018-12-12,108000,109000,106500,107000,"KT&G"
2018-12-13,107000,109000,107000,109000,"KT&G"
2018-12-14,108500,109500,108000,108500,"KT&G"
2018-12-17,109000,109000,107000,107000,"KT&G"
2018-12-18,106500,107000,103000,105500,"KT&G"
2018-12-19,106000,107500,105500,106500,"KT&G"
2018-12-20,105500,108500,104500,108000,"KT&G"
2018-12-21,108500,108500,105500,108000,"KT&G"
2018-12-24,107000,107500,105500,107000,"KT&G"
2018-12-26,106000,107000,103500,105500,"KT&G"
2018-12-27,101500,102000,100500,101500,"KT&G"
2018-12-28,101500,102500,100500,101500,"KT&G"
2018-12-03,73100,73600,72200,72400,"LG"
2018-12-04,71800,72400,70700,71700,"LG"
2018-12-05,71400,72800,70900,71700,"LG"
2018-12-06,72500,72500,69800,70800,"LG"
2018-12-07,70700,71000,70100,70500,"LG"
2018-12-10,69000,70000,67500,68200,"LG"
2018-12-11,67500,68200,67000,67500,"LG"
2018-12-12,68600,71600,67900,71300,"LG"
2018-12-13,71700,73700,71400,73700,"LG"
2018-12-14,74500,74800,72700,73800,"LG"
2018-12-17,74700,75900,74100,74500,"LG"
2018-12-18,74600,74600,72100,72300,"LG"
2018-12-19,72400,73300,71100,71300,"LG"
2018-12-20,71600,72200,70400,71400,"LG"
2018-12-21,72000,72000,70600,71600,"LG"
2018-12-24,71600,72200,70700,71500,"LG"
2018-12-26,70700,71400,68700,69400,"LG"
2018-12-27,68400,69500,67200,68700,"LG"
2018-12-28,69000,70500,68700,69900,"LG"
2018-12-03,74000,74500,73000,74400,"LG전자"
2018-12-04,74200,74700,73100,73200,"LG전자"
2018-12-05,72100,72600,71200,71700,"LG전자"
2018-12-06,71300,71300,68000,68600,"LG전자"
2018-12-07,69400,69900,66700,66900,"LG전자"
2018-12-10,66300,67400,64800,65300,"LG전자"
2018-12-11,65600,67100,65500,66700,"LG전자"
2018-12-12,66600,68200,65600,67900,"LG전자"
2018-12-13,68000,68800,67100,68200,"LG전자"
2018-12-14,68300,68500,66300,67700,"LG전자"
